Record identifier,Bureau of Meteorology Station Number,Rainfall district code,Station Name,Month/Year site opened. (MM/YYYY),Month/Year site closed. (MM/YYYY),Latitude to 4 decimal places in decimal degrees,Longitude to 4 decimal places in decimal degrees,Method by which latitude/longitude was derived,State,Height of station above mean sea level in metres,Height of barometer above mean sea level in metres,WMO (World Meteorological Organisation) Index Number,First year of data supplied in data file,Last year of data supplied in data file,Percentage complete between first and last records,Percentage of values with quality flag 'Y',Percentage of values with quality flag 'N',Percentage of values with quality flag 'W',Percentage of values with quality flag 'S',Percentage of values with quality flag 'I',
st,14829,14F ,LAJAMANU AIRPORT                        ,Jan-52,       ,-18.3324,130.6361,GPS            ,NT ,315.6,316.6,94231,1952,2015,81,83,17,0,  *,0,#
st,14830,14F ,CATTLE CREEK                            ,Jan-60,       ,-17.5987,131.5444,GPS            ,NT ,189,      ,     ,1960,2003,61,99,  *,0,  *,0,#
st,14831,14F ,RIVEREN                                 ,Jan-69,       ,-17.9037,130.227,GPS            ,NT ,323,      ,     ,1969,2015,99,99,  *,0,  *,0,#
st,14836,14F ,INVERWAY                                ,Jan-55,       ,-17.8483,129.636,GPS            ,NT ,403,      ,     ,1955,2015,95,99,  *,0,  *,0,#
st,14839,14F ,DELAMERE                                ,Jan-71,       ,-15.6283,131.6357,GPS            ,NT ,153,      ,     ,1971,2015,69,97,2,0,1,0,#
st,14840,14F ,WAVE HILL                               ,Jan-73,       ,-17.3869,131.1166,GPS            ,NT ,196,198,94229,1973,2015,99,95,4,0,  *,0,#
st,14841,14F ,PIGEON HOLE COMMUNITY                   ,Jan-94,       ,-16.8141,131.2195,MAP 1:100 000  ,NT ,110,      ,     ,1957,2003,22,99,  *,0,  *,0,#
st,14847,14F ,KIDMAN SPRINGS                          ,Sep-69,       ,-16.1177,130.9558,GPS            ,NT ,100,      ,     ,1969,2015,99,98,1,  *,  *,0,#
st,14848,14F ,VICTORIA RIVER ROADHOUSE                ,Aug-78,       ,-15.6194,131.1281,GPS            ,NT ,38,      ,     ,1978,2014,62,99,  *,0,1,0,#
st,14850,14F ,TIMBER CREEK                            ,Jan-81,       ,-15.6614,130.4808,SURVEY         ,NT ,20.1,23.1,94220,1981,2015,100,99,  *,0,  *,0,#
st,14852,14F ,BUNDA                                   ,Aug-83,       ,-17.9979,129.3454,GPS            ,NT ,400,      ,     ,1983,2014,98,99,1,0,  *,0,#
st,14853,14F ,KEEP RIVER RANGERS                      ,Dec-83,       ,-15.9699,129.0408,GPS            ,NT ,100,      ,     ,1982,2015,97,98,1,0,1,0,#
st,14854,14F ,SUNSHINE BORE                           ,Sep-06,       ,-17.8581,130.8841,GPS            ,NT ,250,      ,     ,2006,2015,95,0,100,0,0,0,#
st,14855,14F ,NELSON SPRINGS                          ,Jul-85,       ,-17.3354,129.2892,GPS            ,NT ,290,      ,     ,1985,2015,74,98,1,0,1,0,#
st,14856,14F ,BIRRINDUDU                              ,Jan-87,       ,-18.3903,129.43,GPS            ,NT ,370,      ,     ,1989,2015,84,97,2,0,  *,0,#
st,14857,14F ,SUPLEJACK                               ,Aug-89,       ,-19.28,129.9424,GPS            ,NT ,452,      ,     ,1982,2015,97,99,1,0,  *,0,#
st,14858,14F ,TOP SPRINGS ROADHOUSE                   ,Oct-89,       ,-16.5437,131.7965,GPS            ,NT ,200,      ,     ,1990,2015,44,96,2,0,3,0,#
