Record identifier,Bureau of Meteorology Station Number,Rainfall district code,Station Name,Month/Year site opened. (MM/YYYY),Month/Year site closed. (MM/YYYY),Latitude to 4 decimal places in decimal degrees,Longitude to 4 decimal places in decimal degrees,Method by which latitude/longitude was derived,State,Height of station above mean sea level in metres,Height of barometer above mean sea level in metres,WMO (World Meteorological Organisation) Index Number,First year of data supplied in data file,Last year of data supplied in data file,Percentage complete between first and last records,Percentage of values with quality flag 'Y',Percentage of values with quality flag 'N',Percentage of values with quality flag 'W',Percentage of values with quality flag 'S',Percentage of values with quality flag 'I',
st,1006,1,WYNDHAM AERO                            ,Jan-51,       ,-15.51,128.1503,GPS            ,WA ,3.8,4.3,95214,1951,2015,47,76,24,0,  *,0,#
st,1007,1,TROUGHTON ISLAND                        ,Sep-56,       ,-13.7542,126.1485,GPS            ,WA ,6,8,94102,1956,2015,61,88,12,0,  *,0,#
st,1010,1,THEDA                                   ,Jan-65,       ,-14.7883,126.4964,GPS            ,WA ,210,      ,     ,1965,2015,94,98,1,0,  *,0,#
st,1013,1,WYNDHAM                                 ,Jan-68,       ,-15.4869,128.1236,GPS            ,WA ,11,      ,     ,1968,2015,100,99,  *,0,  *,0,#
st,1014,1,EMMA GORGE                              ,Jan-98,       ,-15.9086,128.1283,               ,WA ,130,      ,     ,1998,2015,85,95,4,0,1,0,#
st,1018,1,MOUNT ELIZABETH                         ,Jan-73,       ,-16.4181,126.1025,GPS            ,WA ,546,547,94211,1973,2015,99,99,1,0,  *,0,#
st,1019,1,KALUMBURU                               ,Nov-97,       ,-14.2964,126.6453,GPS            ,WA ,23,24,94100,1998,2015,99,67,33,  *,  *,0,#
st,1020,1,TRUSCOTT                                ,Jan-44,       ,-14.09,126.3867,GPS            ,WA ,51,52.5,95101,2004,2015,98,66,34,0,  *,0,#
st,1023,1,EL QUESTRO                              ,Jan-67,       ,-16.0086,127.9806,GPS            ,WA ,90,      ,     ,1967,2015,61,98,1,0,1,0,#
st,1024,1,ELLENBRAE                               ,Jul-86,       ,-15.9572,127.0628,GPS            ,WA ,300,      ,     ,1987,2015,76,97,1,0,2,0,#
st,1025,1,DOONGAN                                 ,Jan-88,       ,-15.3797,126.3114,GPS            ,WA ,385,386,94215,1988,2015,99,97,1,0,2,0,#
st,1026,1,DRYSDALE RIVER STATION                  ,Aug-88,       ,-15.7025,126.3786,GPS            ,WA ,370,      ,     ,1988,2015,98,97,2,0,1,0,#
st,1027,1,DIGGERS REST                            ,Feb-71,       ,-15.6394,128.0803,GPS            ,WA ,14,      ,     ,1971,2015,39,86,13,0,1,0,#
st,1028,1,HOME VALLEY                             ,Aug-91,       ,-15.7231,127.8292,GPS            ,WA ,10,      ,     ,1991,2015,55,95,2,0,2,0,#
st,1030,1,KIMBERLEY COASTAL CAMP                  ,Nov-95,       ,-14.5786,125.9133,GPS            ,WA ,3,      ,     ,1995,2013,40,92,5,0,3,0,#
st,1031,1,FARAWAY BAY                             ,Nov-96,       ,-13.96,127.1964,GPS            ,WA ,60,      ,     ,1996,2015,97,98,1,0,1,0,#
st,1035,1,PARRY CREEK FARM                        ,Nov-02,       ,-15.5969,128.2781,GPS            ,WA ,20,      ,     ,2003,2015,81,69,29,0,1,0,#
st,2001,2,ARGYLE DOWNS                            ,01/1890,       ,-16.5039,128.9172,GPS            ,WA ,120,      ,     ,1890,2013,85,99,1,0,  *,0,#
st,2005,2,CARLTON HILL                            ,01/1897,       ,-15.4864,128.5344,GPS            ,WA ,20,      ,     ,1898,2015,82,99,  *,0,  *,0,#
st,2009,2,GIBB RIVER                              ,Jan-22,       ,-16.4203,126.4411,GPS            ,WA ,488,      ,     ,1922,2015,91,85,15,0,  *,0,#
st,2012,2,HALLS CREEK AIRPORT                     ,Jan-44,       ,-18.2292,127.6636,GPS            ,WA ,422,423.9,94212,1944,2015,100,99,  *,0,  *,0,#
st,2013,2,IVANHOE STATION                         ,Jan-07,       ,-15.69,128.6833,GPS            ,WA ,40,      ,     ,1907,2013,78,99,  *,0,1,0,#
st,2014,2,KIMBERLEY RES.STATION                   ,Jan-44,       ,-15.6547,128.7092,GPS            ,WA ,31,      ,     ,1944,2010,95,99,  *,  *,1,0,#
st,2016,2,LISSADELL                               ,01/1895,       ,-16.6742,128.5533,GPS            ,WA ,120,      ,     ,1896,2009,92,99,  *,0,  *,0,#
st,2019,2,MARGARET RIVER STATION                  ,Jan-13,       ,-18.6253,126.8617,GPS            ,WA ,280,      ,     ,1914,2015,93,99,  *,0,  *,0,#
st,2020,2,MOOLA BULLA                             ,Jan-03,       ,-18.1894,127.5011,GPS            ,WA ,430,      ,     ,1904,2013,90,98,2,0,  *,0,#
st,2021,2,MOUNT AMHURST                           ,Nov-25,       ,-18.3869,126.9892,GPS            ,WA ,300,      ,     ,1925,2015,63,76,24,0,  *,0,#
st,2022,2,MOUNT WINIFRED                          ,Oct-00,       ,-18.016,126.3033,               ,WA ,180,      ,     ,2000,2015,77,0,100,0,0,0,#
st,2023,2,NICHOLSON                               ,Feb-21,       ,-18.031,128.8941,GPS            ,WA ,380,      ,     ,1923,2014,82,99,  *,0,  *,0,#
st,2026,2,RUBY PLAINS                             ,Jan-00,       ,-18.5958,127.6419,GPS            ,WA ,450,      ,     ,1901,2015,58,99,  *,0,  *,0,#
st,2028,2,SPRING CREEK                            ,Jan-27,       ,-16.8181,128.8656,GPS            ,WA ,180,      ,     ,1927,2013,80,99,  *,0,  *,0,#
st,2029,2,STURT CREEK                             ,01/1899,       ,-19.1625,128.1633,GPS            ,WA ,400,      ,     ,1899,2015,84,99,1,0,  *,0,#
st,2030,2,YULMBU                                  ,Jan-50,       ,-17.2986,126.9158,GPS            ,WA ,450,      ,     ,1950,2015,71,72,28,0,  *,0,#
st,2032,2,WARMUN                                  ,01/1897,       ,-17.0156,128.2175,GPS            ,WA ,203,205,94213,1898,2015,83,99,1,  *,  *,0,#
st,2036,2,OLD MORNINGTON HOMESTEAD                ,Sep-02,       ,-17.3922,126.2306,GPS            ,WA ,280,      ,     ,2002,2015,93,0,100,0,0,0,#
st,2039,2,DIMOND GORGE                            ,Jan-63,       ,-17.6667,126.0333,               ,WA ,      ,      ,     ,1984,1986,67,100,0,0,0,0,#
st,2043,2,MOUNT KRAUSS                            ,Nov-99,       ,-18.3368,126.1243,GPS            ,WA ,160,      ,     ,2000,2015,67,0,100,0,0,0,#
st,2044,2,LAKE ARGYLE RESORT                      ,Apr-69,       ,-16.1119,128.7414,GPS            ,WA ,163,      ,     ,1969,2015,90,96,4,0,  *,0,#
st,2047,2,BEDFORD DOWNS                           ,May-70,       ,-17.2631,127.4617,GPS            ,WA ,530,      ,     ,1948,2011,48,99,0,0,  *,0,#
st,2048,2,FLORA VALLEY                            ,Jun-70,       ,-18.2972,128.4419,GPS            ,WA ,380,      ,     ,1971,2015,83,99,1,0,1,0,#
st,2049,2,SOPHIE DOWNS                            ,Oct-80,       ,-18.1947,127.8147,GPS            ,WA ,400,      ,     ,1980,2015,96,97,1,0,2,0,#
st,2050,2,SPRINGVALE                              ,Nov-91,       ,-17.7842,127.6853,GPS            ,WA ,420,      ,     ,1918,2013,42,99,  *,0,1,0,#
st,2051,2,BILLILUNA                               ,Jan-70,       ,-19.5558,127.6658,GPS            ,WA ,305,      ,     ,1971,2011,49,99,0,0,1,0,#
st,2053,2,LANSDOWNE                               ,Oct-47,       ,-17.6133,126.7442,GPS            ,WA ,400,      ,     ,1947,2015,42,93,6,0,1,0,#
st,2056,2,KUNUNURRA AERO                          ,Sep-71,       ,-15.7814,128.71,GPS            ,WA ,44,44.4,94216,1971,2015,93,89,11,0,  *,0,#
st,2060,2,KINGSTON REST                           ,Jan-69,       ,-16.0397,128.415,GPS            ,WA ,69,      ,     ,1969,2015,74,95,4,0,1,0,#
st,2061,2,CARRANYA                                ,Jan-63,       ,-19.3322,127.6367,GPS            ,WA ,338,      ,     ,1963,2015,49,98,1,0,1,0,#
st,2062,2,FOX RIVER                               ,Sep-75,       ,-18.4236,128.0314,GPS            ,WA ,310,      ,     ,1975,2011,89,99,  *,0,1,0,#
st,2064,2,ARGYLE AERODROME                        ,Jan-86,       ,-16.6381,128.4517,GPS            ,WA ,164,165,94217,1985,2015,98,79,21,0,  *,0,#
st,2067,2,KUNUNURRA CHECKPOINT                    ,Dec-93,       ,-15.9816,128.9991,GPS            ,WA ,80,      ,     ,1993,2015,95,98,1,0,1,0,#
st,2068,2,MARION DOWNS                            ,Jul-93,       ,-17.0716,126.8494,GPS            ,WA ,460,      ,     ,2009,2015,100,0,100,0,0,0,#
st,2069,2,KACHANA                                 ,Jul-93,       ,-16.4433,127.7836,GPS            ,WA ,270,      ,     ,1993,2015,75,92,7,0,  *,0,#
st,2072,2,BEDFORD DOWNS AIRSTRIP                  ,Jun-11,       ,-17.2797,127.4648,GPS            ,WA ,531,      ,     ,2011,2015,100,0,100,0,0,0,#
st,2073,2,MARGARET RIVER AIRSTRIP                 ,Oct-06,       ,-18.6219,126.8831,GPS            ,WA ,270,      ,     ,2009,2015,99,0,100,0,0,0,#
st,2074,2,MOOLA BULLA AIRSTRIP                    ,Mar-03,       ,-18.1958,127.4948,GPS            ,WA ,440,      ,     ,2011,2015,99,0,100,0,0,0,#
st,2075,2,BULKA                                   ,Jan-95,       ,-19.0372,126.0933,GPS            ,WA ,190,      ,     ,1995,2015,85,96,  *,0,4,0,#
st,2076,2,MORNINGTON                              ,Oct-04,       ,-17.5169,126.1108,GPS            ,WA ,190,      ,     ,2004,2015,82,95,4,0,1,0,#
st,2077,2,SIDDINS CREEK                           ,Jun-09,       ,-16.9203,126.5511,GPS            ,WA ,410,      ,     ,2009,2015,100,0,100,0,0,0,#
st,2078,2,LARRAWA AIRFIELD                        ,Oct-09,       ,-18.8318,126.5301,GPS            ,WA ,270,      ,     ,2011,2015,95,0,100,0,0,0,#
st,3000,3,BEAGLE BAY                              ,May-02,       ,-16.9806,122.6667,GPS            ,WA ,9,      ,     ,1902,2015,81,99,  *,0,  *,0,#
st,3001,3,COUNTRY DOWNS                           ,Jan-69,       ,-17.2767,122.5711,GPS            ,WA ,153,      ,     ,1969,2015,94,99,1,0,  *,0,#
st,3003,3,BROOME AIRPORT                          ,Jan-39,       ,-17.9475,122.2353,GPS            ,WA ,7.4,9,94203,1939,2015,100,99,  *,0,  *,0,#
st,3004,3,CAPE LEVEQUE                            ,Jan-17,       ,-16.3961,122.9278,GPS            ,WA ,25,      ,     ,1917,2015,89,99,  *,0,  *,0,#
st,3005,3,FAIRFIELD STATION                       ,Jan-50,       ,-17.5725,125.0675,GPS            ,WA ,120,      ,     ,1907,2012,47,98,  *,0,2,0,#
st,3008,3,ELLENDALE                               ,Jan-19,       ,-17.9281,124.8108,GPS            ,WA ,120,      ,     ,1919,2013,64,97,3,0,  *,0,#
st,3009,3,JUBILEE DOWNS                           ,Jan-37,       ,-18.3547,125.3033,GPS            ,WA ,100,      ,     ,1937,2015,95,99,  *,0,  *,0,#
st,3010,3,KIMBERLEY DOWNS                         ,01/1885,       ,-17.3925,124.3578,GPS            ,WA ,90,      ,     ,1886,2015,73,99,1,0,  *,0,#
st,3011,3,LEOPOLD DOWNS                           ,01/1899,       ,-17.7535,125.3807,GPS            ,WA ,220,      ,     ,1899,2012,75,95,5,0,  *,0,#
st,3014,3,GOGO STATION                            ,Jan-08,       ,-18.2914,125.5869,GPS            ,WA ,150,      ,     ,1908,2015,93,98,  *,0,2,0,#
st,3017,3,MOUNT HOUSE STATION                     ,Jan-23,       ,-17.0514,125.7056,GPS            ,WA ,270,      ,     ,1923,2014,97,99,  *,0,  *,0,#
st,3018,3,MYROODAH                                ,Sep-07,       ,-18.1225,124.2692,GPS            ,WA ,60,      ,     ,1907,2015,91,99,  *,  *,  *,0,#
st,3019,3,NAPIER DOWNS                            ,Jan-12,       ,-17.3306,124.8167,GPS            ,WA ,80,      ,     ,1912,2015,83,99,  *,0,  *,0,#
st,3020,3,NERRIMA                                 ,Jan-35,       ,-18.4922,124.3992,GPS            ,WA ,95,      ,     ,1935,2015,40,99,  *,0,  *,0,#
st,3022,3,QUANBUN DOWNS                           ,09/1898,       ,-18.3817,125.2267,GPS            ,WA ,100,      ,     ,1898,2015,89,98,  *,0,1,0,#
st,3023,3,ROEBUCK PLAINS                          ,Jan-02,       ,-17.9311,122.4725,GPS            ,WA ,15,      ,     ,1903,2011,87,99,  *,0,1,0,#
st,3024,3,UDIALLA                                 ,Jan-30,       ,-17.9464,123.7383,GPS            ,WA ,20,      ,     ,1930,2015,64,97,3,0,  *,0,#
st,3025,3,COCKATOO ISLAND                         ,Jan-48,       ,-16.0992,123.6161,GPS            ,WA ,91,      ,     ,1948,2014,50,99,0,0,  *,0,#
st,3026,3,YEEDA                                   ,01/1890,       ,-17.6153,123.6483,GPS            ,WA ,5,      ,     ,1890,2015,83,99,1,0,  *,0,#
st,3027,3,FOSSIL DOWNS                            ,Jan-04,       ,-18.1386,125.7764,GPS            ,WA ,120,      ,     ,1904,2015,91,99,  *,0,  *,0,#
st,3028,3,ANNA PLAINS                             ,Jan-08,       ,-19.2536,121.4861,GPS            ,WA ,10,      ,     ,1908,2015,82,98,2,0,  *,0,#
st,3030,3,BIDYADANGA                              ,01/1891,       ,-18.6844,121.7803,GPS            ,WA ,11,12,94202,1891,2015,89,98,  *,  *,1,0,#
st,3032,3,DERBY AERO                              ,Jan-51,       ,-17.3706,123.6611,GPS            ,WA ,6.2,6.7,95205,1951,2015,86,84,16,0,  *,0,#
st,3033,3,BLINA                                   ,Jan-38,       ,-17.7472,124.5283,GPS            ,WA ,60,      ,     ,1938,2012,78,99,1,0,  *,0,#
st,3040,3,CAMBALLIN                               ,Jan-58,       ,-17.9903,124.1922,GPS            ,WA ,45,      ,     ,1958,2015,75,99,  *,0,  *,0,#
st,3041,3,KILTO STATION                           ,Jan-62,       ,-17.6919,122.7169,GPS            ,WA ,60,      ,     ,1962,2015,52,91,8,0,  *,0,#
st,3043,3,CHRISTMAS CREEK HOMESTEAD               ,Jan-60,       ,-18.8772,125.9207,GPS            ,WA ,160,      ,     ,1960,2015,88,96,4,0,  *,0,#
st,3044,3,BROOKING SPRINGS                        ,Jan-01,       ,-18.1103,125.6431,GPS            ,WA ,110,      ,     ,1902,2015,27,99,0,0,  *,0,#
st,3051,3,MOUNT BARNETT                           ,Sep-83,       ,-16.7372,125.9086,GPS            ,WA ,401,401,     ,1908,2015,45,79,21,0,  *,0,#
st,3052,3,MOUNT HART STATION                      ,Jan-25,       ,-16.8206,124.9158,GPS            ,WA ,190,      ,     ,1925,2015,42,96,4,0,  *,0,#
st,3056,3,THANGOO                                 ,01/1892,       ,-18.1792,122.3583,GPS            ,WA ,5,      ,     ,1893,2014,57,99,  *,0,  *,0,#
st,3057,3,CYGNET BAY                              ,Dec-63,       ,-16.4514,123.0086,GPS            ,WA ,7,9,94201,1963,2015,99,97,  *,  *,3,0,#
st,3059,3,NITA DOWNS                              ,Jan-64,       ,-19.0861,121.6764,GPS            ,WA ,31,      ,     ,1965,2015,64,99,1,0,  *,0,#
st,3063,3,CHARNLEY RIVER                          ,Jan-68,       ,-16.7161,125.4603,GPS            ,WA ,400,      ,     ,1968,2015,91,98,1,0,1,0,#
st,3066,3,PORT SMITH                              ,Feb-73,       ,-18.5175,121.8072,GPS            ,WA ,10,      ,     ,1973,2015,94,99,  *,0,1,0,#
st,3068,3,DAMPIER DOWNS                           ,Aug-73,       ,-18.5075,123.4561,GPS            ,WA ,120,      ,     ,1973,2015,97,99,1,0,  *,0,#
st,3073,3,KIMBOLTON                               ,Jan-70,       ,-16.6872,123.8375,GPS            ,WA ,25,      ,     ,1970,2015,65,99,1,0,  *,0,#
st,3074,3,YAKKAMUNGA                              ,May-83,       ,-17.9347,123.4731,GPS            ,WA ,50,      ,     ,1983,2011,93,99,0,1,  *,0,#
st,3075,3,DERBY MAIN ROADS                        ,Jan-83,       ,-17.3136,123.6497,GPS            ,WA ,18,      ,     ,1983,2015,47,97,2,0,1,0,#
st,3079,3,SHELAMAR                                ,Apr-89,       ,-18.9897,121.7208,GPS            ,WA ,20,      ,     ,1989,2015,39,98,1,0,1,0,#
st,3080,3,CURTIN AERO                             ,Jul-89,       ,-17.5769,123.8297,GPS            ,WA ,77.5,78,94204,1990,2015,97,67,33,0,  *,0,#
st,3084,3,DERBY (MANNING RD)                      ,Mar-92,       ,-17.3436,123.6781,GPS            ,WA ,10,      ,     ,1992,2015,99,98,1,0,1,0,#
st,3086,3,WILLARE BRIDGE                          ,Jan-92,       ,-17.7278,123.6547,GPS            ,WA ,20,      ,     ,1992,2015,68,96,3,0,1,0,#
st,3088,2,LARRAWA                                 ,Aug-95,       ,-18.8375,126.5247,GPS            ,WA ,260,      ,     ,1995,2008,96,99,0,0,1,0,#
st,3090,3,DEBESA                                  ,Oct-95,       ,-17.7981,124.0772,GPS            ,WA ,100,      ,     ,1995,2015,74,82,17,0,1,0,#
st,3091,3,BEEFWOOD PARK                           ,Jan-96,       ,-18.9894,125.8478,GPS            ,WA ,200,      ,     ,1996,2011,87,99,  *,0,1,0,#
st,3093,3,FITZROY CROSSING AERO                   ,Aug-97,       ,-18.1814,125.5619,GPS            ,WA ,114.5,115,94206,1997,2015,99,66,34,0,  *,0,#
st,3094,3,WINDJANA GORGE                          ,Jan-97,       ,-17.4211,124.9247,GPS            ,WA ,95,      ,     ,2009,2015,97,0,100,0,0,0,#
st,3098,3,MOUNT HOUSE AIRSTRIP                    ,Sep-02,       ,-17.0549,125.7108,GPS            ,WA ,270,      ,     ,2002,2015,98,0,100,0,0,0,#
st,3100,3,LIVERINGA STATION                       ,Jan-01,       ,-17.9503,124.2653,GPS            ,WA ,55,      ,     ,2001,2015,96,98,1,0,1,0,#
st,3101,3,DAMPIER DOWNS AIRSTRIP                  ,Jun-06,       ,-18.5096,123.4676,GPS            ,WA ,140,      ,     ,2009,2015,99,0,100,0,0,0,#
st,3103,3,MIDDLE LAGOON                           ,Sep-04,       ,-16.7742,122.5764,GPS            ,WA ,15,      ,     ,2005,2011,25,85,0,2,13,0,#
st,3104,3,BIDAN                                   ,Jan-05,       ,-17.645,123.1678,GPS            ,WA ,50,      ,     ,2005,2013,32,94,3,0,3,0,#
st,3105,3,LAUREL DOWNS                            ,Jan-07,       ,-18.1106,125.3364,GPS            ,WA ,175,      ,     ,2007,2015,73,96,3,0,1,0,#
st,3106,3,ELLENDALE MINESITE                      ,Oct-07,       ,-17.5669,124.8411,GPS            ,WA ,125,      ,     ,2007,2015,88,96,3,0,1,0,#
st,3107,3,SILVER GULL CREEK                       ,Nov-14,       ,-16.1903,123.7025,MAP 1:250 000  ,WA ,      ,      ,     ,2014,2014,90,82,14,0,4,0,#
st,4004,4,BAMBOO CREEK                            ,11/1897,       ,-20.9264,120.2075,GPS            ,WA ,250,      ,     ,1898,2015,74,99,  *,0,  *,0,#
st,4006,4,BONNEY DOWNS                            ,Jan-07,       ,-22.1828,119.935,GPS            ,WA ,480,      ,     ,1907,2015,98,99,  *,0,  *,0,#
st,4008,4,CARLINDIE                               ,Aug-07,       ,-20.6392,119.2431,GPS            ,WA ,120,      ,     ,1907,2015,60,99,  *,0,  *,0,#
st,4012,4,DE GREY                                 ,01/1888,       ,-20.1756,119.1908,GPS            ,WA ,15,      ,     ,1888,2014,66,99,  *,0,  *,0,#
st,4015,4,HILLSIDE STATION                        ,Jan-17,       ,-21.7219,119.3989,GPS            ,WA ,271,      ,     ,1917,2015,80,99,1,0,  *,0,#
st,4016,4,INDEE                                   ,Jan-09,       ,-20.7867,118.5972,GPS            ,WA ,80,      ,     ,1909,2015,91,99,  *,0,  *,0,#
st,4019,4,MANDORA                                 ,Jan-13,       ,-19.7419,120.8433,GPS            ,WA ,7.5,8,94200,1913,2015,95,98,2,  *,  *,0,#
st,4022,4,MUCCAN                                  ,01/1898,       ,-20.6333,120.0544,GPS            ,WA ,85,      ,     ,1898,1998,72,99,  *,0,  *,0,#
st,4024,4,MUNDABULLANGANA                         ,01/1899,       ,-20.5192,118.0603,GPS            ,WA ,20,      ,     ,1899,2015,67,99,  *,0,  *,0,#
st,4026,4,NOREENA DOWNS                           ,Jan-11,       ,-22.2914,120.1761,               ,WA ,495,      ,     ,1911,2014,90,99,  *,0,  *,0,#
st,4028,4,PARDOO STATION                          ,Jan-04,       ,-20.1078,119.5811,GPS            ,WA ,9,10,94311,1904,2015,90,99,  *,  *,  *,0,#
st,4032,4,PORT HEDLAND AIRPORT                    ,Jul-42,       ,-20.3725,118.6317,GPS            ,WA ,6.4,8.4,94312,1942,2015,100,99,  *,  *,  *,0,#
st,4033,4,PYRAMID STATION                         ,Jan-51,       ,-21.0561,117.4436,GPS            ,WA ,40,      ,     ,1951,2015,90,99,  *,0,  *,0,#
st,4035,4,ROEBOURNE                               ,01/1887,       ,-20.7767,117.1456,GPS            ,WA ,12,13,     ,1887,2015,91,99,  *,  *,  *,0,#
st,4036,4,STRELLEY                                ,Jun-06,       ,-20.4681,119.0556,GPS            ,WA ,67,      ,     ,1906,2015,77,99,  *,0,  *,0,#
st,4038,4,WALLAREENYA                             ,Jul-08,       ,-20.7483,118.8172,GPS            ,WA ,97,      ,     ,1908,2015,72,99,1,0,  *,0,#
st,4039,4,WARAMBIE                                ,Jan-37,       ,-20.9469,117.3733,GPS            ,WA ,30,      ,     ,1937,2014,99,99,  *,0,  *,0,#
st,4041,4,WARRAWAGINE                             ,11/1897,       ,-20.8508,120.6961,GPS            ,WA ,159,      ,     ,1898,2015,83,99,  *,0,  *,0,#
st,4042,4,WHIM CREEK                              ,12/1897,       ,-20.8414,117.8353,GPS            ,WA ,32,      ,     ,1898,2013,52,99,0,  *,  *,0,#
st,4046,4,YARRIE                                  ,01/1898,       ,-20.6739,120.2044,GPS            ,WA ,100,      ,     ,1898,2015,85,99,  *,0,  *,0,#
st,4054,4,COSSACK                                 ,01/1881,       ,-20.6783,117.1892,GPS            ,WA ,7,      ,     ,1882,2012,33,99,  *,0,  *,0,#
st,4059,4,MALLINA                                 ,Jun-00,       ,-20.8822,118.0308,GPS            ,WA ,40,      ,     ,1901,2011,71,99,0,0,  *,0,#
st,4068,4,WALLAL DOWNS                            ,01/1897,       ,-19.7789,120.6417,GPS            ,WA ,9,      ,     ,1897,2015,80,99,  *,0,  *,0,#
st,4083,4,KARRATHA AERO                           ,Dec-71,       ,-20.7097,116.7742,GPS            ,WA ,5.3,5.8,95307,1972,2015,99,76,24,0,  *,0,#
st,4086,4,SHERLOCK                                ,Jan-56,       ,-20.8956,117.6447,GPS            ,WA ,30,      ,     ,1956,2014,68,99,  *,0,  *,0,#
st,4090,4,ROEBOURNE AERO                          ,Jun-01,       ,-20.7594,117.1583,GPS            ,WA ,10.7,11.2,94308,2001,2015,99,66,34,0,  *,0,#
st,4100,4,BEDOUT ISLAND                           ,Jun-93,       ,-19.5894,119.1,               ,WA ,8.6,9.4,94310,2005,2015,68,96,2,0,3,0,#
st,4102,4,MEENTHEENA                              ,Oct-93,       ,-21.2669,120.4544,GPS            ,WA ,220,      ,     ,1993,2015,11,84,14,0,2,0,#
st,4103,4,NIFTY COPPER MINE                       ,Feb-97,       ,-21.6672,121.5756,GPS            ,WA ,290,      ,     ,1996,2013,77,99,0,0,  *,0,#
st,4106,4,MARBLE BAR                              ,Sep-00,       ,-21.1756,119.7497,GPS            ,WA ,182.3,182.8,95317,2000,2015,96,67,33,0,  *,0,#
st,5001,5,COOLAWANYAH                             ,Jan-23,       ,-21.8047,117.8056,GPS            ,WA ,360,      ,     ,1923,2015,86,99,  *,0,  *,0,#
st,5003,5,ETHEL CREEK                             ,Jan-07,       ,-22.8972,120.1733,GPS            ,WA ,425,      ,     ,1907,2015,95,95,5,0,  *,0,#
st,5004,5,EXMOUTH GULF                            ,Jan-15,       ,-22.3761,114.1108,GPS            ,WA ,15,      ,     ,1915,2014,98,99,  *,0,  *,0,#
st,5005,5,HAMERSLEY                               ,Jan-12,       ,-22.2794,117.6775,GPS            ,WA ,590,      ,     ,1912,2015,91,99,  *,0,  *,0,#
st,5006,5,KOOLINE                                 ,01/1896,       ,-22.9119,116.2903,GPS            ,WA ,160,      ,     ,1896,2015,69,99,  *,0,  *,0,#
st,5007,5,LEARMONTH AIRPORT                       ,Jan-45,       ,-22.2406,114.0967,GPS            ,WA ,5,5.5,94302,1945,2015,85,99,  *,0,  *,0,#
st,5008,5,MARDIE                                  ,01/1885,       ,-21.1906,115.9797,GPS            ,WA ,11,12,94306,1885,2015,92,98,2,0,  *,0,#
st,5009,5,MARILLANA                               ,Jan-36,       ,-22.6331,119.4081,GPS            ,WA ,430,      ,     ,1936,2015,81,99,  *,0,  *,0,#
st,5012,5,MILLSTREAM                              ,01/1897,       ,-21.5906,117.0656,GPS            ,WA ,300,      ,     ,1897,2015,90,99,  *,0,  *,0,#
st,5013,5,MINDEROO                                ,Jan-12,       ,-21.9964,115.0433,               ,WA ,31,      ,     ,1912,2015,88,99,1,0,  *,0,#
st,5014,5,MOUNT FLORANCE                          ,01/1886,       ,-21.7869,117.8647,GPS            ,WA ,450,      ,     ,1886,2015,88,99,  *,0,  *,0,#
st,5015,5,MULGA DOWNS                             ,12/1897,       ,-22.1039,118.4703,GPS            ,WA ,400,      ,     ,1898,2013,90,99,  *,0,  *,0,#
st,5017,5,ONSLOW AIRPORT                          ,Aug-40,       ,-21.6689,115.1092,GPS            ,WA ,10.5,11,95305,1940,2015,69,88,12,0,  *,0,#
st,5020,5,NINGALOO                                ,01/1898,       ,-22.6975,113.6747,GPS            ,WA ,10,      ,     ,1898,2014,97,99,  *,0,  *,0,#
st,5022,5,RED HILL                                ,01/1898,       ,-21.975,116.0653,GPS            ,WA ,150,      ,     ,1898,2015,92,99,1,0,  *,0,#
st,5026,5,WITTENOOM                               ,Aug-49,       ,-22.2425,118.3358,Unknown        ,WA ,463,464,94313,1950,2015,99,99,  *,0,  *,0,#
st,5028,5,WYLOO                                   ,Jan-03,       ,-22.6906,116.2328,GPS            ,WA ,150,      ,     ,1904,2008,86,99,  *,0,  *,0,#
st,5029,5,YALLEEN                                 ,Jan-30,       ,-21.6767,116.3928,GPS            ,WA ,180,      ,     ,1930,2015,55,99,1,0,  *,0,#
st,5030,5,YANREY                                  ,01/1897,       ,-22.5064,114.7944,GPS            ,WA ,25,      ,     ,1897,2012,90,99,0,0,  *,0,#
st,5032,5,YARRALOOLA HOMESTEAD                    ,01/1898,       ,-21.5703,115.8786,GPS            ,WA ,50,      ,     ,1899,2015,94,99,  *,0,  *,0,#
st,5033,5,KOORDARRIE                              ,Jan-15,       ,-22.3419,114.9319,GPS            ,WA ,150,      ,     ,1915,2015,51,99,  *,0,  *,0,#
st,5034,5,MOUNT STUART                            ,06/1899,       ,-22.4558,116.0508,GPS            ,WA ,160,      ,     ,1899,2015,71,99,  *,0,  *,0,#
st,5036,5,GLEN FLORRIE STATION                    ,Jan-21,       ,-22.9367,115.9825,GPS            ,WA ,170,      ,     ,1921,2015,71,99,  *,0,  *,0,#
st,5040,5,BALMORAL                                ,Jan-12,       ,-21.1594,116.1197,GPS            ,WA ,15,      ,     ,1912,2015,70,99,  *,  *,1,0,#
st,5045,5,GIRALIA                                 ,Jan-13,       ,-22.685,114.3672,GPS            ,WA ,30,      ,     ,1913,2011,75,99,  *,0,  *,0,#
st,5051,5,EXMOUTH TOWN                            ,Jan-64,       ,-21.9303,114.126,GPS            ,WA ,13,      ,     ,1967,2015,94,99,1,0,  *,0,#
st,5052,5,KARRATHA STATION                        ,Jan-00,       ,-20.8831,116.6725,GPS            ,WA ,30,      ,     ,1900,2015,99,92,1,0,8,0,#
