time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],lwe_thickness_of_precipitation_amount[unit="mm day-1"]
1970-04-13T00:00:00Z,-33.0862,116.0387,0.0
1970-04-14T00:00:00Z,-33.0862,116.0387,0.0
1970-04-15T00:00:00Z,-33.0862,116.0387,0.0
1970-04-16T00:00:00Z,-33.0862,116.0387,0.0
1970-04-17T00:00:00Z,-33.0862,116.0387,5.422603607177734
1970-04-18T00:00:00Z,-33.0862,116.0387,0.0
1970-04-19T00:00:00Z,-33.0862,116.0387,9.519734382629395
1970-04-20T00:00:00Z,-33.0862,116.0387,27.12945556640625
1970-04-21T00:00:00Z,-33.0862,116.0387,2.4088525772094727
1970-04-22T00:00:00Z,-33.0862,116.0387,0.6000399589538574
1970-04-23T00:00:00Z,-33.0862,116.0387,3.6772050857543945
1970-04-24T00:00:00Z,-33.0862,116.0387,1.5282080173492432
1970-04-25T00:00:00Z,-33.0862,116.0387,0.0
1970-04-26T00:00:00Z,-33.0862,116.0387,0.0
1970-04-27T00:00:00Z,-33.0862,116.0387,0.0
1970-04-28T00:00:00Z,-33.0862,116.0387,0.0
1970-04-29T00:00:00Z,-33.0862,116.0387,0.0
1970-04-30T00:00:00Z,-33.0862,116.0387,8.925105094909668
1970-05-01T00:00:00Z,-33.0862,116.0387,8.334881782531738
1970-05-02T00:00:00Z,-33.0862,116.0387,0.0
1970-05-03T00:00:00Z,-33.0862,116.0387,0.0
1970-05-04T00:00:00Z,-33.0862,116.0387,0.0
1970-05-05T00:00:00Z,-33.0862,116.0387,0.0
1970-05-06T00:00:00Z,-33.0862,116.0387,0.0
1970-05-07T00:00:00Z,-33.0862,116.0387,0.0012233001179993153
1970-05-08T00:00:00Z,-33.0862,116.0387,6.080240726470947
1970-05-09T00:00:00Z,-33.0862,116.0387,2.2360422611236572
1970-05-10T00:00:00Z,-33.0862,116.0387,1.6442981958389282
1970-05-11T00:00:00Z,-33.0862,116.0387,16.965713500976562
1970-05-12T00:00:00Z,-33.0862,116.0387,22.14513397216797
1970-05-13T00:00:00Z,-33.0862,116.0387,10.552712440490723
1970-05-14T00:00:00Z,-33.0862,116.0387,1.3459534645080566
1970-05-15T00:00:00Z,-33.0862,116.0387,0.36255353689193726
1970-05-16T00:00:00Z,-33.0862,116.0387,0.0
1970-05-17T00:00:00Z,-33.0862,116.0387,0.0
1970-05-18T00:00:00Z,-33.0862,116.0387,0.0
1970-05-19T00:00:00Z,-33.0862,116.0387,0.0
1970-05-20T00:00:00Z,-33.0862,116.0387,0.0
1970-05-21T00:00:00Z,-33.0862,116.0387,0.0
1970-05-22T00:00:00Z,-33.0862,116.0387,0.0
1970-05-23T00:00:00Z,-33.0862,116.0387,0.0
1970-05-24T00:00:00Z,-33.0862,116.0387,10.633991241455078
1970-05-25T00:00:00Z,-33.0862,116.0387,2.7644095420837402
1970-05-26T00:00:00Z,-33.0862,116.0387,5.889266490936279
1970-05-27T00:00:00Z,-33.0862,116.0387,0.38430914282798767
1970-05-28T00:00:00Z,-33.0862,116.0387,0.0
1970-05-29T00:00:00Z,-33.0862,116.0387,0.0
1970-05-30T00:00:00Z,-33.0862,116.0387,7.260812282562256
1970-05-31T00:00:00Z,-33.0862,116.0387,34.51802444458008
1970-06-01T00:00:00Z,-33.0862,116.0387,19.61947250366211
1970-06-02T00:00:00Z,-33.0862,116.0387,17.740285873413086
1970-06-03T00:00:00Z,-33.0862,116.0387,0.29570335149765015
1970-06-04T00:00:00Z,-33.0862,116.0387,0.07384657114744186
1970-06-05T00:00:00Z,-33.0862,116.0387,1.4941197633743286
1970-06-06T00:00:00Z,-33.0862,116.0387,2.793255090713501
1970-06-07T00:00:00Z,-33.0862,116.0387,10.781329154968262
1970-06-08T00:00:00Z,-33.0862,116.0387,3.157384157180786
1970-06-09T00:00:00Z,-33.0862,116.0387,0.0
1970-06-10T00:00:00Z,-33.0862,116.0387,0.0
1970-06-11T00:00:00Z,-33.0862,116.0387,38.58266830444336
1970-06-12T00:00:00Z,-33.0862,116.0387,9.352237701416016
1970-06-13T00:00:00Z,-33.0862,116.0387,5.492496013641357
1970-06-14T00:00:00Z,-33.0862,116.0387,10.398141860961914
1970-06-15T00:00:00Z,-33.0862,116.0387,2.2708516120910645
1970-06-16T00:00:00Z,-33.0862,116.0387,0.0
1970-06-17T00:00:00Z,-33.0862,116.0387,17.477819442749023
1970-06-18T00:00:00Z,-33.0862,116.0387,19.957582473754883
1970-06-19T00:00:00Z,-33.0862,116.0387,20.30341148376465
1970-06-20T00:00:00Z,-33.0862,116.0387,4.498290538787842
1970-06-21T00:00:00Z,-33.0862,116.0387,4.073053359985352
1970-06-22T00:00:00Z,-33.0862,116.0387,24.136398315429688
1970-06-23T00:00:00Z,-33.0862,116.0387,28.00124740600586
1970-06-24T00:00:00Z,-33.0862,116.0387,13.312934875488281
1970-06-25T00:00:00Z,-33.0862,116.0387,6.7035932540893555
1970-06-26T00:00:00Z,-33.0862,116.0387,0.9897408485412598
1970-06-27T00:00:00Z,-33.0862,116.0387,20.58351707458496
1970-06-28T00:00:00Z,-33.0862,116.0387,21.838645935058594
1970-06-29T00:00:00Z,-33.0862,116.0387,39.669578552246094
1970-06-30T00:00:00Z,-33.0862,116.0387,3.1938631534576416
1970-07-01T00:00:00Z,-33.0862,116.0387,2.4921281337738037
1970-07-02T00:00:00Z,-33.0862,116.0387,10.979899406433105
1970-07-03T00:00:00Z,-33.0862,116.0387,3.1884279251098633
1970-07-04T00:00:00Z,-33.0862,116.0387,1.615173101425171
1970-07-05T00:00:00Z,-33.0862,116.0387,0.775804340839386
1970-07-06T00:00:00Z,-33.0862,116.0387,12.184276580810547
1970-07-07T00:00:00Z,-33.0862,116.0387,3.00517201423645
1970-07-08T00:00:00Z,-33.0862,116.0387,4.915305762551725E-4
1970-07-09T00:00:00Z,-33.0862,116.0387,0.0
1970-07-10T00:00:00Z,-33.0862,116.0387,0.0
1970-07-11T00:00:00Z,-33.0862,116.0387,0.0
