time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],air_temperature[unit="degree Celsius"]
1970-01-01T00:00:00Z,-34.39,115.84,30.147960662841797
1970-01-02T00:00:00Z,-34.39,115.84,30.591535568237305
1970-01-03T00:00:00Z,-34.39,115.84,26.09882926940918
1970-01-04T00:00:00Z,-34.39,115.84,28.496057510375977
1970-01-05T00:00:00Z,-34.39,115.84,29.6666259765625
1970-01-06T00:00:00Z,-34.39,115.84,32.388885498046875
1970-01-07T00:00:00Z,-34.39,115.84,26.79012107849121
1970-01-08T00:00:00Z,-34.39,115.84,23.327049255371094
1970-01-09T00:00:00Z,-34.39,115.84,22.557554244995117
1970-01-10T00:00:00Z,-34.39,115.84,25.1314697265625
1970-01-11T00:00:00Z,-34.39,115.84,29.727537155151367
1970-01-12T00:00:00Z,-34.39,115.84,36.92212677001953
1970-01-13T00:00:00Z,-34.39,115.84,30.807048797607422
1970-01-14T00:00:00Z,-34.39,115.84,28.20418357849121
1970-01-15T00:00:00Z,-34.39,115.84,21.593984603881836
1970-01-16T00:00:00Z,-34.39,115.84,22.560325622558594
1970-01-17T00:00:00Z,-34.39,115.84,25.280546188354492
1970-01-18T00:00:00Z,-34.39,115.84,26.87043571472168
1970-01-19T00:00:00Z,-34.39,115.84,30.515586853027344
1970-01-20T00:00:00Z,-34.39,115.84,28.85597038269043
1970-01-21T00:00:00Z,-34.39,115.84,27.550979614257812
1970-01-22T00:00:00Z,-34.39,115.84,24.851642608642578
1970-01-23T00:00:00Z,-34.39,115.84,26.152334213256836
1970-01-24T00:00:00Z,-34.39,115.84,26.652809143066406
1970-01-25T00:00:00Z,-34.39,115.84,25.941234588623047
1970-01-26T00:00:00Z,-34.39,115.84,30.479400634765625
1970-01-27T00:00:00Z,-34.39,115.84,27.550891876220703
1970-01-28T00:00:00Z,-34.39,115.84,22.397111892700195
1970-01-29T00:00:00Z,-34.39,115.84,27.330337524414062
1970-01-30T00:00:00Z,-34.39,115.84,27.152441024780273
1970-01-31T00:00:00Z,-34.39,115.84,31.919567108154297
1970-02-01T00:00:00Z,-34.39,115.84,37.660301208496094
1970-02-02T00:00:00Z,-34.39,115.84,35.704925537109375
1970-02-03T00:00:00Z,-34.39,115.84,34.90331268310547
1970-02-04T00:00:00Z,-34.39,115.84,34.4449348449707
1970-02-05T00:00:00Z,-34.39,115.84,22.041152954101562
1970-02-06T00:00:00Z,-34.39,115.84,26.214290618896484
1970-02-07T00:00:00Z,-34.39,115.84,22.971406936645508
1970-02-08T00:00:00Z,-34.39,115.84,23.21876335144043
1970-02-09T00:00:00Z,-34.39,115.84,24.670446395874023
1970-02-10T00:00:00Z,-34.39,115.84,27.404361724853516
1970-02-11T00:00:00Z,-34.39,115.84,29.602792739868164
1970-02-12T00:00:00Z,-34.39,115.84,33.251136779785156
1970-02-13T00:00:00Z,-34.39,115.84,28.60841178894043
1970-02-14T00:00:00Z,-34.39,115.84,29.039743423461914
1970-02-15T00:00:00Z,-34.39,115.84,32.44331741333008
1970-02-16T00:00:00Z,-34.39,115.84,24.182109832763672
1970-02-17T00:00:00Z,-34.39,115.84,20.703521728515625
1970-02-18T00:00:00Z,-34.39,115.84,21.412960052490234
1970-02-19T00:00:00Z,-34.39,115.84,24.29665184020996
