time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],lwe_thickness_of_precipitation_amount[unit="mm day-1"]
1970-04-08T00:00:00Z,-20.3004,148.5484,0.0
1970-04-09T00:00:00Z,-20.3004,148.5484,0.5138221383094788
1970-04-10T00:00:00Z,-20.3004,148.5484,12.345824241638184
1970-04-11T00:00:00Z,-20.3004,148.5484,7.78693151473999
1970-04-12T00:00:00Z,-20.3004,148.5484,0.0
1970-04-13T00:00:00Z,-20.3004,148.5484,2.838649034500122
1970-04-14T00:00:00Z,-20.3004,148.5484,1.1131330728530884
1970-04-15T00:00:00Z,-20.3004,148.5484,4.243432521820068
1970-04-16T00:00:00Z,-20.3004,148.5484,19.10175132751465
1970-04-17T00:00:00Z,-20.3004,148.5484,4.6811652183532715
1970-04-18T00:00:00Z,-20.3004,148.5484,19.417884826660156
1970-04-19T00:00:00Z,-20.3004,148.5484,2.7410902976989746
1970-04-20T00:00:00Z,-20.3004,148.5484,1.8752286434173584
1970-04-21T00:00:00Z,-20.3004,148.5484,3.7300446033477783
1970-04-22T00:00:00Z,-20.3004,148.5484,5.2468366622924805
1970-04-23T00:00:00Z,-20.3004,148.5484,0.7106797099113464
1970-04-24T00:00:00Z,-20.3004,148.5484,0.07991071790456772
1970-04-25T00:00:00Z,-20.3004,148.5484,0.0
1970-04-26T00:00:00Z,-20.3004,148.5484,0.0
1970-04-27T00:00:00Z,-20.3004,148.5484,1.485878825187683
1970-04-28T00:00:00Z,-20.3004,148.5484,1.0090627670288086
1970-04-29T00:00:00Z,-20.3004,148.5484,0.8237923979759216
1970-04-30T00:00:00Z,-20.3004,148.5484,0.0
1970-05-01T00:00:00Z,-20.3004,148.5484,0.0
1970-05-02T00:00:00Z,-20.3004,148.5484,3.5383377075195312
1970-05-03T00:00:00Z,-20.3004,148.5484,0.0
1970-05-04T00:00:00Z,-20.3004,148.5484,0.0
1970-05-05T00:00:00Z,-20.3004,148.5484,0.0
1970-05-06T00:00:00Z,-20.3004,148.5484,0.0
1970-05-07T00:00:00Z,-20.3004,148.5484,0.0
1970-05-08T00:00:00Z,-20.3004,148.5484,0.0
1970-05-09T00:00:00Z,-20.3004,148.5484,0.0
1970-05-10T00:00:00Z,-20.3004,148.5484,0.0
1970-05-11T00:00:00Z,-20.3004,148.5484,0.0
1970-05-12T00:00:00Z,-20.3004,148.5484,0.0
1970-05-13T00:00:00Z,-20.3004,148.5484,0.0
1970-05-14T00:00:00Z,-20.3004,148.5484,0.0
1970-05-15T00:00:00Z,-20.3004,148.5484,0.0
1970-05-16T00:00:00Z,-20.3004,148.5484,0.0
1970-05-17T00:00:00Z,-20.3004,148.5484,0.0
1970-05-18T00:00:00Z,-20.3004,148.5484,0.0
1970-05-19T00:00:00Z,-20.3004,148.5484,0.0
1970-05-20T00:00:00Z,-20.3004,148.5484,0.0
1970-05-21T00:00:00Z,-20.3004,148.5484,0.0
1970-05-22T00:00:00Z,-20.3004,148.5484,0.0
1970-05-23T00:00:00Z,-20.3004,148.5484,0.0
1970-05-24T00:00:00Z,-20.3004,148.5484,2.0925004482269287
1970-05-25T00:00:00Z,-20.3004,148.5484,0.7907711267471313
